416	ΠΡΟΓΡΑΜΜΑ ΙΕΡΑΤΙΚΩΝ ΣΠΟΥΔΩΝ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ	9800
416	ΠΡΟΓΡΑΜΜΑ ΙΕΡΑΤΙΚΩΝ ΣΠΟΥΔΩΝ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ	6142
417	ΠΡΟΓΡΑΜΜΑ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΜΟΥΣΙΚΗΣ ΚΑΙ ΨΑΛΤΙΚΗΣ ΒΕΛΛΑΣ ΙΩΑΝΝΙΝΩΝ	10708
417	ΠΡΟΓΡΑΜΜΑ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΜΟΥΣΙΚΗΣ ΚΑΙ ΨΑΛΤΙΚΗΣ ΒΕΛΛΑΣ ΙΩΑΝΝΙΝΩΝ	7886
418	ΠΡΟΓΡΑΜΜΑ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΜΟΥΣΙΚΗΣ ΚΑΙ ΨΑΛΤΙΚΗΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ	10624
418	ΠΡΟΓΡΑΜΜΑ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΜΟΥΣΙΚΗΣ ΚΑΙ ΨΑΛΤΙΚΗΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ	6990
599	ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ & ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΑΘΗΝΑ)	12403
601	ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ & ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)	11832
661	ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΑΘΗΝΑ)	14543
643	ΚΟΙΝΩΝΙΚΗΣ ΕΡΓΑΣΙΑΣ (ΗΡΑΚΛΕΙΟ)	12544
690	ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ (ΑΘΗΝΑ)	10149
692	ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ (ΙΩΑΝΝΙΝΑ)	8404
694	ΠΡΟΣΧΟΛΙΚΗΣ ΑΓΩΓΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)	9358
696	ΛΑΪΚΗΣ & ΠΑΡΑΔΟΣΙΑΚΗΣ ΜΟΥΣΙΚΗΣ (ΑΡΤΑ)	10735
730	ΨΗΦΙΑΚΩΝ ΜΕΣΩΝ & ΕΠΙΚΟΙΝΩΝΙΑΣ Τ.Ε. (ΚΑΣΤΟΡΙΑ)	6056
748	ΤΕΧΝΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ Τ.Ε. (ΖΑΚΥΝΘΟΣ) - ΣΥΝΤΗΡΗΣΗΣ ΠΟΛΙΤΙΣΜΙΚΗΣ ΚΛΗΡΟΝΟΜΙΑΣ Τ.Ε.	8467
741	ΨΗΦΙΑΚΩΝ ΜΕΣΩΝ & ΕΠΙΚΟΙΝΩΝΙΑΣ Τ.Ε.  (ΑΡΓΟΣΤΟΛΙ) 	5904
602	ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΗΓΟΥΜΕΝΙΤΣΑ) - ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ 	7125
755	ΔΙΟΙΚΗΣΗΣ	6584
756	ΔΙΟΙΚΗΣΗΣ	6364
248	ΜΑΘΗΜΑΤΙΚΩΝ KAI ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ (ΗΡΑΚΛΕΙΟ) - ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ	12676
250	ΕΠΙΣΤΗΜΩΝ ΤΗΣ ΘΑΛΑΣΣΑΣ (ΜΥΤΙΛΗΝΗ)	6674
218	ΜΑΘΗΜΑΤΙΚΩΝ (ΣΑΜΟΣ) - ΣΤΑΤΙΣΤΙΚΗΣ ΚΑΙ ΑΝΑΛΟΓΙΣΤΙΚΩΝ-ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΩΝ ΜΑΘΗΜΑΤΙΚΩΝ	10471
329	ΣΤΑΤΙΣΤΙΚΗΣ (ΑΘΗΝΑ)	13158
249	ΜΑΘΗΜΑΤΙΚΩΝ (ΙΩΑΝΝΙΝΑ)	13633
247	ΜΑΘΗΜΑΤΙΚΩΝ (ΠΑΤΡΑ)	13880
251	ΜΑΘΗΜΑΤΙΚΩΝ KAI ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ (ΗΡΑΚΛΕΙΟ) - ΜΑΘΗΜΑΤΙΚΩΝ 	13388
252	ΜΑΘΗΜΑΤΙΚΩΝ (ΣΑΜΟΣ) - ΜΑΘΗΜΑΤΙΚΩΝ	12239
245	ΜΑΘΗΜΑΤΙΚΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ)	15750
243	ΜΑΘΗΜΑΤΙΚΩΝ (ΑΘΗΝΑ) 	16060
259	ΦΥΣΙΚΗΣ (ΙΩΑΝΝΙΝΑ)	14158
257	ΦΥΣΙΚΗΣ (ΠΑΤΡΑ)	14731
261	ΦΥΣΙΚΗΣ (ΗΡΑΚΛΕΙΟ)	14261
253	ΦΥΣΙΚΗΣ (ΑΘΗΝΑ)	16608
255	ΦΥΣΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)	15883
269	ΧΗΜΕΙΑΣ (ΙΩΑΝΝΙΝΑ)	15241
267	ΧΗΜΕΙΑΣ (ΠΑΤΡΑ)	15790
270	ΧΗΜΕΙΑΣ (ΗΡΑΚΛΕΙΟ)	15121
263	ΧΗΜΕΙΑΣ (ΑΘΗΝΑ)	17011
265	ΧΗΜΕΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)	16195
287	ΓΕΩΛΟΓΙΑΣ (ΠΑΤΡΑ)	10887
283	ΓΕΩΛΟΓΙΑΣ & ΓΕΩΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΑΘΗΝΑ)	13468
285	ΓΕΩΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)	12991
310	ΓΕΩΓΡΑΦΙΑΣ (ΜΥΤΙΛΗΝΗ)	5941
356	ΓΕΩΓΡΑΦΙΑΣ (ΑΘΗΝΑ)	11324
281	ΒΙΟΛΟΓΙΑΣ (ΠΑΤΡΑ)	18107
282	ΒΙΟΛΟΓΙΑΣ (ΗΡΑΚΛΕΙΟ)	18063
277	ΒΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ)	18335
279	ΒΙΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)	18246
246	ΕΦΑΡΜΟΣΜΕΝΩΝ ΜΑΘΗΜΑΤΙΚΩΝ & ΦΥΣΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΑΘΗΝΑ)	16024
272	ΜΗΧΑΝΙΚΩΝ ΕΠΙΣΤΗΜΗΣ ΥΛΙΚΩΝ (ΙΩΑΝΝΙΝΑ)	10492
200	ΕΠΙΣΤΗΜΗΣ & ΤΕΧΝΟΛΟΓΙΑΣ ΥΛΙΚΩΝ (ΗΡΑΚΛΕΙΟ)	10066
288	ΕΠΙΣΤΗΜΗΣ ΤΩΝ ΥΛΙΚΩΝ (ΠΑΤΡΑ)	10388
